***************************************************************************************************************************************************************************************** 

# Name                   Value      Units             
Sref_                   6.1935350 Lunit^2             
Cref_                   0.6425750 Lunit               
Bref_                   9.6386220 Lunit               
Xcg_                    0.0000000 Lunit               
Ycg_                    0.0000280 Lunit               
Zcg_                   -0.0000000 Lunit               
Mach_                   0.2330030 no_unit             
AoA_                    4.0000000 deg                 
Beta_                   0.0000000 deg                 
Rho_                    1.2250000 Munit/Lunit^3       
Vinf_                  50.0000000 Lunit/Tunit         
Roll__Rate              0.0000000 rad/Tunit           
Pitch_Rate              0.0000000 rad/Tunit           
Yaw___Rate              0.0000000 rad/Tunit           

   Wing       S        Xavg      Yavg      Zavg     Chord     V/Vref      Cl        Cd        Cs        Cx        Cy       Cz        Cmx       Cmy       Cmz 
        1   0.01916   0.37937   0.02007   0.02075   0.75506   0.99787   1.24118   0.03754   0.00650  -0.04914   0.00650   1.24077   0.03279  -0.49199   0.00285 
        1   0.04236   0.37975   0.06023   0.02065   0.75317   0.99808   1.24414   0.03629   0.00655  -0.05059   0.00655   1.24364   0.09927  -0.49474   0.00560 
        1   0.05044   0.38012   0.10039   0.02056   0.75128   0.99821   1.24685   0.03574   0.00659  -0.05133   0.00659   1.24630   0.16635  -0.49745   0.00842 
        1   0.05853   0.38050   0.14055   0.02046   0.74939   0.99825   1.24929   0.03484   0.00664  -0.05239   0.00664   1.24867   0.23401  -0.50015   0.01141 
        1   0.06661   0.38087   0.18072   0.02036   0.74750   0.99838   1.25150   0.03436   0.00665  -0.05302   0.00665   1.25085   0.30222  -0.50269   0.01441 
        1   0.07469   0.38125   0.22088   0.02026   0.74561   0.99837   1.25372   0.03381   0.00669  -0.05373   0.00669   1.25302   0.37100  -0.50542   0.01752 
        1   0.08277   0.38162   0.26104   0.02016   0.74372   0.99841   1.25586   0.03342   0.00671  -0.05427   0.00671   1.25514   0.44035  -0.50815   0.02067 
        1   0.09085   0.38199   0.30120   0.02006   0.74183   0.99846   1.25792   0.03328   0.00672  -0.05455   0.00672   1.25718   0.51025  -0.51086   0.02378 
        1   0.09893   0.38237   0.34136   0.01997   0.73994   0.99867   1.25969   0.03430   0.00672  -0.05366   0.00672   1.25902   0.58064  -0.51331   0.02639 
        1   0.10701   0.38274   0.38152   0.01987   0.73805   0.99868   1.26151   0.03413   0.00674  -0.05395   0.00674   1.26082   0.65156  -0.51618   0.02954 
